name,channel,handle,url,category,label,rank
"Walker, Thekla",facebook,thekla.walker.bw,https://www.facebook.com/thekla.walker.bw,Politician,Grüne,1208
"Walker, Thekla",instagram,theklawalker,https://www.instagram.com/theklawalker/,Politician,Grüne,2409
"Kretschmann, Winfried",x,WiniKretschmann,https://www.x.com/WiniKretschmann,Politician,Grüne,
"Kretschmann, Winfried",facebook,WinfriedKretschmann,https://www.facebook.com/WinfriedKretschmann,Politician,Grüne,3389
"Bayaz, Danyal",x,DerDanyal,https://www.x.com/DerDanyal,Politician,Grüne,
"Bayaz, Danyal",instagram,real.danyal,https://www.instagram.com/real.danyal/,Politician,Grüne,2410
"Strobl, Thomas",facebook,thomasstrobl.cdu,https://www.facebook.com/thomasstrobl.cdu,Politician,CDU,1456
"Althusmann, Dr Bernd",x,althusmann,https://www.x.com/althusmann,Politician,CDU,
"Althusmann, Dr Bernd",facebook,AlthusmannBernd,https://www.facebook.com/AlthusmannBernd,Politician,CDU,3432
"Althusmann, Dr Bernd",instagram,althusmann,https://www.instagram.com/althusmann/,Politician,CDU,612
"Althusmann, Dr Bernd",tiktok,@bernd.althusmann3,https://www.tiktok.com/@bernd.althusmann3,Politician,CDU,
"Arends, Matthias",facebook,arendsmatthias,https://www.facebook.com/arendsmatthias,Politician,SPD,2454
"Arends, Matthias",instagram,matthiasarends,https://www.instagram.com/matthiasarends/,Politician,SPD,
"Baatzsch, Brian",facebook,baatzsch,https://www.facebook.com/baatzsch,Politician,SPD,
"Baatzsch, Brian",instagram,brianbaatzsch,https://www.instagram.com/brianbaatzsch/,Politician,SPD,2411
"Baatzsch, Brian",tiktok,@brianbaatzschmdl,https://www.tiktok.com/@brianbaatzschmdl,Politician,SPD,
"Bajus, Volker",x,vbajus,https://www.x.com/vbajus,Politician,Grüne,
"Bajus, Volker",facebook,vbajus,https://www.facebook.com/vbajus,Politician,Grüne,
"Bajus, Volker",instagram,volkerbajus,https://www.instagram.com/volkerbajus/,Politician,Grüne,2412
"Bajus, Volker",tiktok,@volkerbajus,https://www.tiktok.com/@volkerbajus,Politician,Grüne,
"Bauer, Jan",facebook,Jan-Bauer-106493222000946,https://www.facebook.com/Jan-Bauer-106493222000946,Politician,CDU,2642
"Bauer, Jan",instagram,jan_bauer_buchholz,https://www.instagram.com/jan_bauer_buchholz/,Politician,CDU,2413
"Bauseneick, Anna",facebook,Bauseneick.CDU,https://www.facebook.com/Bauseneick.CDU,Politician,CDU,2452
"Bauseneick, Anna",instagram,anna_bauseneick,https://www.instagram.com/anna_bauseneick/,Politician,CDU,
"Bauseneick, Anna",tiktok,@anna_bauseneick_mdl,https://www.tiktok.com/@anna_bauseneick_mdl,Politician,CDU,
"Beck, Jan-Philipp",facebook,janphilipp.beck,https://www.facebook.com/janphilipp.beck,Politician,SPD,
"Beck, Jan-Philipp",instagram,janphilipp_beck,https://www.instagram.com/janphilipp_beck/,Politician,SPD,
"Beckmann, Sina",x,SinaBeckmann4,https://www.x.com/SinaBeckmann4,Politician,Grüne,
"Beckmann, Sina",facebook,sina.beckmann.7,https://www.facebook.com/sina.beckmann.7,Politician,Grüne,
"Beckmann, Sina",instagram,beckmannsina,https://www.instagram.com/beckmannsina/,Politician,Grüne,3039
"Beckmann, Sina",tiktok,@sinabeckmann4,https://www.tiktok.com/@sinabeckmann4,Politician,Grüne,
"Behrendt, Vanessa",facebook,vanessa.behrendt.71,https://www.facebook.com/vanessa.behrendt.71,Politician,AfD,
"Behrendt, Vanessa",instagram,mdl_behrendt_rakicky,https://www.instagram.com/mdl_behrendt_rakicky/,Politician,AfD,
"Behrendt, Vanessa",tiktok,@vanessabehrendt45,https://www.tiktok.com/@vanessabehrendt45,Politician,AfD,
"Bloem, Nico",facebook,bloemnico,https://www.facebook.com/bloemnico,Politician,SPD,1347
"Bloem, Nico",instagram,bloemnico,https://www.instagram.com/bloemnico/,Politician,SPD,2414
"Bloem, Nico",tiktok,@nico.bloem,https://www.tiktok.com/@nico.bloem,Politician,SPD,
"Bock, André",facebook,andrebock.cdu,https://www.facebook.com/andrebock.cdu/,Politician,CDU,1277
"Bock, André",instagram,andre_bock_mdl,https://www.instagram.com/andre_bock_mdl/,Politician,CDU,2415
"Bode, Veronika",x,VeKoGra,https://www.x.com/VeKoGra,Politician,CDU,
"Bode, Veronika",facebook,veronika.bode1,https://www.facebook.com/veronika.bode1,Politician,CDU,
"Bode, Veronika",instagram,veronika_bode.mdl,https://www.instagram.com/veronika_bode.mdl/,Politician,CDU,2416
"Bode, Veronika",tiktok,@verobogra,https://www.tiktok.com/@verobogra,Politician,CDU,
"Bosse, Marcus",facebook,marcus.bosse,https://www.facebook.com/marcus.bosse/,Politician,SPD,
"Bosse, Marcus",instagram,marcus_bosse,https://www.instagram.com/marcus_bosse/,Politician,SPD,2417
"Bothe, Stephan",x,MdlBothe,https://www.x.com/MdlBothe,Politician,AfD,
"Bothe, Stephan",facebook,StephanBotheMDL,https://www.facebook.com/StephanBotheMDL,Politician,AfD,1153
"Bothe, Stephan",instagram,stephan_bothe_mdl,https://www.instagram.com/stephan_bothe_mdl/,Politician,AfD,
